;;Visual Properties;;;;;Labels;;;Graph Metrics;Do Not Edit;;Other Columns;;;;;;;;;;;;
Vertex 1;Vertex 2;Color;Width;Style;Opacity;Visibility;Label;Label Text Color;Label Font Size;Reciprocated?;ID;Dynamic Filter;Add Your Own Columns Here;Relationship;Relationship Date (UTC);Tweet;URLs in Tweet;Domains in Tweet;Hashtags in Tweet;Tweet Date (UTC);Twitter Page for Tweet;Latitude;Longitude;Imported ID;In-Reply-To Tweet ID
petegreenland;bbcsport;;;;;;;;;;;;;Replies to;2-5-2021 13:49;@BBCSport #qanon has arrived at old Trafford;;;qanon;2-5-2021 13:49;https://twitter.com/#!/petegreenland/status/1388853230969360390;;;1388853230969360390;1388851007942283264
emanuelvincent8;laurenboebert;;;;;;;;;;;;;Replies to;2-5-2021 13:53;@laurenboebert Why did you wear a gun? You didn’t feel safe surrounded by #qanon crazies??;;;qanon;2-5-2021 13:53;https://twitter.com/#!/emanuelvincent8/status/1388854199610449922;;;1388854199610449922;1388849267326992393
gregsimmons_1;amazi;;;;;;;;;;;;;Mentions;2-5-2021 13:55;RT @jarue369: Did anyone hold @PrayingMedic responsible for lying to everyone or did we let him off the hook, too? Same question for @Amazi…;;;;2-5-2021 13:55;https://twitter.com/#!/gregsimmons_1/status/1388854747386494976;;;1388854747386494976;
gregsimmons_1;jarue369;;;;;;;;;;;;;Mentions;2-5-2021 13:55;RT @jarue369: Did anyone hold @PrayingMedic responsible for lying to everyone or did we let him off the hook, too? Same question for @Amazi…;;;;2-5-2021 13:55;https://twitter.com/#!/gregsimmons_1/status/1388854747386494976;;;1388854747386494976;
nanna39076633;fbunational;;;;;;;;;;;;;Mentions;2-5-2021 13:57;"RT @SandyTh02461164: @WASPI_Campaign 
@Keir_Starmer  
@UniteUnion
@GMB_union 
@RMTunion  
@CWUnews 
@NASUWT 
@MhairiBlack 
@fbunational  
@…";;;;2-5-2021 13:57;https://twitter.com/#!/nanna39076633/status/1388855234605293569;;;1388855234605293569;
nanna39076633;mhairiblack;;;;;;;;;;;;;Mentions;2-5-2021 13:57;"RT @SandyTh02461164: @WASPI_Campaign 
@Keir_Starmer  
@UniteUnion
@GMB_union 
@RMTunion  
@CWUnews 
@NASUWT 
@MhairiBlack 
@fbunational  
@…";;;;2-5-2021 13:57;https://twitter.com/#!/nanna39076633/status/1388855234605293569;;;1388855234605293569;
nanna39076633;nasuwt;;;;;;;;;;;;;Mentions;2-5-2021 13:57;"RT @SandyTh02461164: @WASPI_Campaign 
@Keir_Starmer  
@UniteUnion
@GMB_union 
@RMTunion  
@CWUnews 
@NASUWT 
@MhairiBlack 
@fbunational  
@…";;;;2-5-2021 13:57;https://twitter.com/#!/nanna39076633/status/1388855234605293569;;;1388855234605293569;
nanna39076633;cwunews;;;;;;;;;;;;;Mentions;2-5-2021 13:57;"RT @SandyTh02461164: @WASPI_Campaign 
@Keir_Starmer  
@UniteUnion
@GMB_union 
@RMTunion  
@CWUnews 
@NASUWT 
@MhairiBlack 
@fbunational  
@…";;;;2-5-2021 13:57;https://twitter.com/#!/nanna39076633/status/1388855234605293569;;;1388855234605293569;
nanna39076633;rmtunion;;;;;;;;;;;;;Mentions;2-5-2021 13:57;"RT @SandyTh02461164: @WASPI_Campaign 
@Keir_Starmer  
@UniteUnion
@GMB_union 
@RMTunion  
@CWUnews 
@NASUWT 
@MhairiBlack 
@fbunational  
@…";;;;2-5-2021 13:57;https://twitter.com/#!/nanna39076633/status/1388855234605293569;;;1388855234605293569;
nanna39076633;gmb_union;;;;;;;;;;;;;Mentions;2-5-2021 13:57;"RT @SandyTh02461164: @WASPI_Campaign 
@Keir_Starmer  
@UniteUnion
@GMB_union 
@RMTunion  
@CWUnews 
@NASUWT 
@MhairiBlack 
@fbunational  
@…";;;;2-5-2021 13:57;https://twitter.com/#!/nanna39076633/status/1388855234605293569;;;1388855234605293569;
nanna39076633;uniteunion;;;;;;;;;;;;;Mentions;2-5-2021 13:57;"RT @SandyTh02461164: @WASPI_Campaign 
@Keir_Starmer  
@UniteUnion
@GMB_union 
@RMTunion  
@CWUnews 
@NASUWT 
@MhairiBlack 
@fbunational  
@…";;;;2-5-2021 13:57;https://twitter.com/#!/nanna39076633/status/1388855234605293569;;;1388855234605293569;
nanna39076633;keir_starmer;;;;;;;;;;;;;Mentions;2-5-2021 13:57;"RT @SandyTh02461164: @WASPI_Campaign 
@Keir_Starmer  
@UniteUnion
@GMB_union 
@RMTunion  
@CWUnews 
@NASUWT 
@MhairiBlack 
@fbunational  
@…";;;;2-5-2021 13:57;https://twitter.com/#!/nanna39076633/status/1388855234605293569;;;1388855234605293569;
nanna39076633;waspi_campaign;;;;;;;;;;;;;Mentions;2-5-2021 13:57;"RT @SandyTh02461164: @WASPI_Campaign 
@Keir_Starmer  
@UniteUnion
@GMB_union 
@RMTunion  
@CWUnews 
@NASUWT 
@MhairiBlack 
@fbunational  
@…";;;;2-5-2021 13:57;https://twitter.com/#!/nanna39076633/status/1388855234605293569;;;1388855234605293569;
nanna39076633;sandyth02461164;;;;;;;;;;;;;Mentions;2-5-2021 13:57;"RT @SandyTh02461164: @WASPI_Campaign 
@Keir_Starmer  
@UniteUnion
@GMB_union 
@RMTunion  
@CWUnews 
@NASUWT 
@MhairiBlack 
@fbunational  
@…";;;;2-5-2021 13:57;https://twitter.com/#!/nanna39076633/status/1388855234605293569;;;1388855234605293569;
pat625t;mog7546;;;;;;;;;;;;;Mentions;2-5-2021 13:58;"RT @mog7546: This is the fringiest of the fringe

#QAnon GOP Cultists Are Holding UV Lights To AZ Ballots Looking For Secret Watermarks

#M…";;;qanon;2-5-2021 13:58;https://twitter.com/#!/pat625t/status/1388855375395532807;;;1388855375395532807;
cambskeptics;cambskeptics;;;;;;;;;;;;;Tweet;2-5-2021 14:00;A series of bizarre images posted to Telegram in April 2021 by the #QAnon-supporting attorney appeared to reference… https://t.co/17BFG3vhgi;https://twitter.com/i/web/status/1388855935028838402;twitter.com;qanon;2-5-2021 14:00;https://twitter.com/#!/cambskeptics/status/1388855935028838402;;;1388855935028838402;
anonymous4835;amazi;;;;;;;;;;;;;Mentions;2-5-2021 14:00;RT @jarue369: Did anyone hold @PrayingMedic responsible for lying to everyone or did we let him off the hook, too? Same question for @Amazi…;;;;2-5-2021 14:00;https://twitter.com/#!/anonymous4835/status/1388855995078742018;;;1388855995078742018;
anonymous4835;jarue369;;;;;;;;;;;;;Mentions;2-5-2021 14:00;RT @jarue369: Did anyone hold @PrayingMedic responsible for lying to everyone or did we let him off the hook, too? Same question for @Amazi…;;;;2-5-2021 14:00;https://twitter.com/#!/anonymous4835/status/1388855995078742018;;;1388855995078742018;
ericsanard;tedericd;;;;;;;;;;;;;Mentions;2-5-2021 14:00;@DJAM0901 @coeurdestemps @OffLalanne @ZhangZhangZhang @TedericD Et vous n'avez aucun doute sur ce que vous lisez ?… https://t.co/7lCHa0noPW;https://twitter.com/i/web/status/1388856042835091457;twitter.com;;2-5-2021 14:00;https://twitter.com/#!/ericsanard/status/1388856042835091457;;;1388856042835091457;1388855500570349575
ericsanard;zhangzhangzhang;;;;;;;;;;;;;Mentions;2-5-2021 14:00;@DJAM0901 @coeurdestemps @OffLalanne @ZhangZhangZhang @TedericD Et vous n'avez aucun doute sur ce que vous lisez ?… https://t.co/7lCHa0noPW;https://twitter.com/i/web/status/1388856042835091457;twitter.com;;2-5-2021 14:00;https://twitter.com/#!/ericsanard/status/1388856042835091457;;;1388856042835091457;1388855500570349575
