;;Visual Properties;;;;;Labels;;;Graph Metrics;Do Not Edit;;Other Columns;;;;;;;;;;;;
Vertex 1;Vertex 2;Color;Width;Style;Opacity;Visibility;Label;Label Text Color;Label Font Size;Reciprocated?;ID;Dynamic Filter;Add Your Own Columns Here;Relationship;Relationship Date (UTC);Tweet;URLs in Tweet;Domains in Tweet;Hashtags in Tweet;Tweet Date (UTC);Twitter Page for Tweet;Latitude;Longitude;Imported ID;In-Reply-To Tweet ID
yous033;femkemerel;;;;;;;;;;;;;Mentions;29-4-2021 11:53;RT @FemkeMerel: Wow... Dit is echt héél gênant. Wat doet @RobJetten!... Rob, wat doe je! Doorbréék die coalitiedwang nou eens!! Kom op! Laa…;;;;29-4-2021 11:53;https://twitter.com/#!/yous033/status/1387736842120974340;;;1387736842120974340;
kaalslagalmer;kaalslagalmer;;;;;;;;;;;;;Tweet;29-4-2021 11:53;".

#KAAG #D66

KADERS OM #OMTZIGT HEEN BOUWEN

SENSIBILISEREN

KALTSTELLEN

#BANENENMONARCHIE

#notulen #terzaketv… https://t.co/fWFwSUUNOw";https://twitter.com/i/web/status/1387736845094686721;twitter.com;kaag d66 omtzigt banenenmonarchie notulen terzaketv;29-4-2021 11:53;https://twitter.com/#!/kaalslagalmer/status/1387736845094686721;;;1387736845094686721;
inekerenee;ploumenlilianne;;;;;;;;;;;;;Mentions;29-4-2021 11:53;RT @PloumenLilianne: Terwijl in 2019 duidelijk werd hoe ouders kapot gemaakt waren door de belastingdienst, was het kabinet bezig met de be…;;;;29-4-2021 11:53;https://twitter.com/#!/inekerenee/status/1387736846373990400;;;1387736846373990400;
martimmie;pieteromtzigt;;;;;;;;;;;;;Mentions;29-4-2021 11:53;RT @Monte_Lanaco: @lientje1967 vs @AnneKuik 👏🏼👏🏼👏🏼 Ze liegt het ook nog af hè!!! Ze zei wel degelijk dat @PieterOmtzigt thuis ziek zit vanw…;;;;29-4-2021 11:53;https://twitter.com/#!/martimmie/status/1387736887109029888;;;1387736887109029888;
martimmie;annekuik;;;;;;;;;;;;;Mentions;29-4-2021 11:53;RT @Monte_Lanaco: @lientje1967 vs @AnneKuik 👏🏼👏🏼👏🏼 Ze liegt het ook nog af hè!!! Ze zei wel degelijk dat @PieterOmtzigt thuis ziek zit vanw…;;;;29-4-2021 11:53;https://twitter.com/#!/martimmie/status/1387736887109029888;;;1387736887109029888;
martimmie;lientje1967;;;;;;;;;;;;;Mentions;29-4-2021 11:53;RT @Monte_Lanaco: @lientje1967 vs @AnneKuik 👏🏼👏🏼👏🏼 Ze liegt het ook nog af hè!!! Ze zei wel degelijk dat @PieterOmtzigt thuis ziek zit vanw…;;;;29-4-2021 11:53;https://twitter.com/#!/martimmie/status/1387736887109029888;;;1387736887109029888;
martimmie;monte_lanaco;;;;;;;;;;;;;Mentions;29-4-2021 11:53;RT @Monte_Lanaco: @lientje1967 vs @AnneKuik 👏🏼👏🏼👏🏼 Ze liegt het ook nog af hè!!! Ze zei wel degelijk dat @PieterOmtzigt thuis ziek zit vanw…;;;;29-4-2021 11:53;https://twitter.com/#!/martimmie/status/1387736887109029888;;;1387736887109029888;
fms32338278;ewindt;;;;;;;;;;;;;Replies to;29-4-2021 11:53;@EWindt #notulendebat heeft iemand het al gehad over degene wiens naam niet genoemd mag worden Martijn van der Zande?;;;notulendebat;29-4-2021 11:53;https://twitter.com/#!/fms32338278/status/1387736889575284738;;;1387736889575284738;1386614192090853376
macbethertje;macbethertje;;;;;;;;;;;;;Tweet;29-4-2021 11:53;"@anne_Kuik lacht Dassen (Volt) uit, 
dat is geheel onterecht, schaam U  
   #notulendebat";;;notulendebat;29-4-2021 11:53;https://twitter.com/#!/macbethertje/status/1387736723031986182;;;1387736723031986182;
deftvic;macbethertje;;;;;;;;;;;;;Mentions;29-4-2021 11:53;"RT @macbethertje: @anne_Kuik lacht Dassen (Volt) uit, 
dat is geheel onterecht, schaam U  
   #notulendebat";;;;29-4-2021 11:53;https://twitter.com/#!/deftvic/status/1387736896508502019;;;1387736896508502019;
